"Cidade","UF","Pais","Email","Tel","DTNASC","CPF","GUID","Latitude","Longitude","TIPOSANGUINEO","ID","Nome","Sexo"
"Lago Norte","DF","BR","FelipeSantosOliveira@superrito.com","(61) 2703-8098","3/7/1982","587.295.216-37","5a3935e8-7ef7-4c45-b2d0-347f35a9f5a3","-15.688642","-47.900862","A+","1474","Felipe S Oliveira","2"
"Rio de Janeiro","RJ","BR","LucasBarbosaCunha@gustr.com","(21) 9159-3136","9/27/1967","144.084.509-36","923af973-2925-4566-b23c-535a37979d05","-22.912061","-43.29188","O+","1475","Lucas B Cunha","2"
"Jundiaí","SP","BR","PedroBarrosPinto@jourrapide.com","(11) 9956-6685","1/4/1997","797.507.769-09","29a192ae-f92c-4526-af78-9dee40b60de5","-23.134216","-46.909327","A-","1476","Pedro B Pinto","2"
"Aracaju","SE","BR","GabriellyRochaAlves@cuvox.de","(79) 5875-2321","2/1/1953","161.395.775-00","a16c83d3-1d35-45d6-abdb-1bb6de97a1ad","-10.886997","-37.089523","B+","1477","Gabrielly R Alves","1"
"São Paulo","SP","BR","LeilaSouzaBarbosa@einrot.com","(11) 2458-8856","4/5/1954","769.873.257-66","acf18738-18c2-4f31-b0fc-b88d5105c3cf","-23.615752","-46.676636","B+","1478","Leila S Barbosa","1"
"São Paulo","SP","BR","BiancaAzevedoCosta@superrito.com","(11) 8066-3334","3/1/1995","931.618.857-16","244019c3-c454-4baf-ad0c-4efd05174829","-23.652185","-46.691079","A+","1479","Bianca A Costa","1"
"São Gonçalo","RJ","BR","BrendaCavalcantiBarbosa@jourrapide.com","(21) 2019-8002","5/17/1958","156.673.101-12","c1b6e86e-f078-4db0-9f21-03f603f368b0","-22.722156","-43.058447","A+","1480","Brenda C Barbosa","1"
"Colatina","ES","BR","LeonorAlmeidaLima@dayrep.com","(27) 4675-3137","1/22/1985","820.659.445-01","92bcd747-2143-48a2-ab6e-aa4dbd948b15","-19.495659","-40.726727","A+","1481","Leonor A Lima","1"
"Barra do Piraí","RJ","BR","EvelynPintoGomes@teleworm.us","(24) 5913-9532","10/26/1954","861.651.566-65","b353fa47-2aa9-4ce4-88c8-38d06e0c42ac","-22.450005","-43.997159","A+","1482","Evelyn P Gomes","1"
"Americana","SP","BR","SophiaCavalcantiPereira@teleworm.us","(19) 3088-9105","9/17/1941","900.160.099-91","5369aee1-5666-4b0b-993a-7fecb5525666","-22.625309","-47.221102","O+","1483","Sophia C Pereira","1"
"Itaguaí","RJ","BR","EmilyCarvalhoAraujo@einrot.com","(21) 3276-5837","11/1/1960","201.883.440-12","d917d6f0-094f-4fb6-97ef-4c1fdbadbc5b","-22.932607","-43.736325","A+","1484","Emily C Araujo","1"
"Belém","PA","BR","MatildeAraujoDias@dayrep.com","(91) 4494-5215","8/4/1995","407.653.821-80","b3873ce0-b8fc-4725-bd06-86eba2ce214d","-1.336557","-48.323545","A-","1485","Matilde A Dias","1"
"Itapetininga","SP","BR","RebecaDiasGoncalves@cuvox.de","(15) 4636-2708","4/19/1989","482.752.793-80","ff5b5062-dba6-4f3a-b6b7-b081dcabcb6c","-23.554172","-48.142048","AB+","1486","Rebeca D Goncalves","1"
"Fortaleza","CE","BR","ManuelaDiasOliveira@teleworm.us","(85) 7397-5851","11/3/1985","716.788.365-40","be8988fc-b0fa-4d7b-91a2-2a29aeb88504","-3.761247","-38.535794","A+","1487","Manuela D Oliveira","1"
"Jaboatão dos Guararapes","PE","BR","GiovannaMartinsSantos@rhyta.com","(81) 2335-9660","3/6/1997","130.341.339-60","962b3fe3-aba0-4eec-b57e-50e1f78d2b4c","-8.112997","-34.981807","A+","1488","Giovanna M Santos","1"
"Goiânia","GO","BR","NicolashCarvalhoMartins@cuvox.de","(62) 6022-6472","4/21/1991","186.358.869-84","3915fc69-c3e5-461f-b47c-bac371a77cb1","-16.545498","-49.295095","O-","1489","Nicolash C Martins","2"
"São Paulo","SP","BR","CarlosGoncalvesRibeiro@fleckens.hu","(11) 9707-5186","2/25/1957","820.612.531-05","1a9c9a16-888d-4aaf-a69f-078c50d6c0e6","-23.584732","-46.536183","O+","1490","Carlos G Ribeiro","2"
"Teresina","PI","BR","AnnaSantosMelo@jourrapide.com","(86) 3010-9127","12/12/1977","853.668.598-08","7ec537e6-acb2-438f-94e9-cbce129dfc59","-5.289422","-42.785125","A+","1491","Anna S Melo","1"
"Ituiutaba","MG","BR","BeatriceCorreiaGomes@superrito.com","(34) 3138-3175","3/9/1943","805.909.189-15","0b7afa91-04ea-44a2-9a5c-2a9af3e83ac3","-19.067331","-49.51483","O+","1492","Beatrice C Gomes","1"
"Betim","MG","BR","GabrielleCarvalhoSilva@gustr.com","(31) 8338-6447","4/19/1974","917.827.218-19","ccb2a8a1-66d0-4f91-bc07-928f899fd70c","-19.974213","-44.211692","O+","1493","Gabrielle C Silva","1"
"Porto Alegre","RS","BR","AlineCarvalhoCastro@dayrep.com","(51) 3151-6202","11/9/1954","707.752.299-70","cdbdfbc2-456b-46cd-b3eb-05fa75acdcef","-30.167091","-51.092736","AB+","1494","Aline C Castro","1"
"Suzano","SP","BR","ThaisDiasOliveira@jourrapide.com","(11) 6633-3331","3/5/1973","333.368.737-20","27425f1e-fc5f-4201-b62c-3ac9b1b03d2f","-23.672191","-46.409346","O+","1495","Thaís D Oliveira","1"
"Contagem","MG","BR","VitoriaCarvalhoAzevedo@jourrapide.com","(31) 2936-7539","6/9/1982","285.284.700-08","7de64ef5-d54e-4dcf-acb6-8d1eb58f056d","-19.949922","-44.010337","A+","1496","Vitória C Azevedo","1"
"Aparecida de Goiânia","GO","BR","EduardoCavalcantiSousa@dayrep.com","(62) 7506-6884","8/12/1966","457.703.462-05","56a57620-229f-4c2b-be98-1fdad5183079","-16.751761","-49.157727","A+","1497","Eduardo C Sousa","2"
"Palmas","TO","BR","LauraLimaOliveira@fleckens.hu","(63) 9184-2747","3/19/1945","671.565.758-05","d1ce4087-f4fc-4e70-8be9-5fd30707d7b1","-10.154731","-48.176559","AB+","1498","Laura L Oliveira","1"
"Guarulhos","SP","BR","AndreMartinsAlves@jourrapide.com","(11) 7084-6545","11/30/1954","544.841.688-80","0be76b71-67c3-4441-b991-fd26d300c6ce","-23.477881","-46.475287","O+","1499","André M Alves","2"
"São Carlos","SP","BR","NicoleCostaSouza@fleckens.hu","(16) 5393-7705","8/5/1949","348.942.982-60","859dbcc5-523c-45e0-8de9-496b7d4e19c4","-21.963586","-47.775076","A+","1500","Nicole C Souza","1"
"Londrina","PR","BR","RafaelSilvaRocha@rhyta.com","(43) 8304-3720","1/18/1939","742.040.147-04","9f13d172-15ca-4a3e-b306-4a97ccf33ad3","-23.604665","-51.025686","O+","1501","Rafael S Rocha","2"
"Americana","SP","BR","ManuelaCorreiaCosta@einrot.com","(19) 6909-2278","10/3/1944","578.443.142-06","9d5e9534-f16a-4d17-8740-057fd6f600db","-22.626079","-47.268992","O-","1502","Manuela C Costa","1"
"Fortaleza","CE","BR","VitorRibeiroFernandes@cuvox.de","(85) 7897-6413","5/16/1986","390.027.333-21","c8955b59-aac3-4b6d-8327-8c8c7bf297ac","-3.805083","-38.617099","B+","1503","Vitór R Fernandes","2"
"São Paulo","SP","BR","MarinaAlmeidaMelo@rhyta.com","(11) 5579-6107","4/6/1989","756.768.846-81","75b7b6db-5fd7-4c3e-88e4-25ed2b42c41a","-23.640336","-46.587924","B+","1504","Marina A Melo","1"
"Campina Grande","PB","BR","JuliaMartinsCorreia@superrito.com","(83) 3727-2256","1/10/1941","712.618.813-70","5aa585a5-ada8-461d-9d99-b7b05be443ac","-7.2633","-35.954611","O+","1505","Julia M Correia","1"
"Belém","PA","BR","JoaoCorreiaAlmeida@teleworm.us","(91) 3844-6867","12/3/1968","515.105.043-54","6118d282-47d7-4c81-9a57-eb227bbb86d5","-1.280877","-48.339509","O+","1506","João C Almeida","2"
"São Gonçalo","RJ","BR","ViniciusMartinsSantos@superrito.com","(21) 7748-4460","3/15/1965","730.262.598-02","b544b54a-02db-41a4-bed9-3ce7db5f008b","-22.765845","-43.06348","O+","1507","Vinícius M Santos","2"
"Belém","PA","BR","MatheusRochaRibeiro@dayrep.com","(91) 6230-5041","7/25/1990","544.526.602-82","69afae31-9607-4fb1-b143-e30e7754d538","-1.334623","-48.383078","B-","1508","Matheus R Ribeiro","2"
"Várzea Grande","MT","BR","KaiRochaDias@gustr.com","(65) 4374-4677","11/19/1937","912.931.288-48","7d25e7a4-86e0-4b62-990b-9d1614edbf8d","-15.629954","-56.336737","A+","1509","Kai R Dias","2"
"Poços de Caldas","MG","BR","BeatriceCorreiaOliveira@jourrapide.com","(35) 7325-8777","7/29/1940","871.211.713-76","3a7359e8-555c-4d93-b178-8ed9e3b5a99a","-21.891301","-46.568912","A+","1510","Beatrice C Oliveira","1"
"Teresina","PI","BR","LaviniaBarrosPinto@einrot.com","(86) 7675-9396","4/16/1986","264.525.576-02","3c74babd-4a52-4525-ba65-1cd2d08719f3","-5.262804","-42.912331","A+","1511","Lavinia B Pinto","1"
"Lages","SC","BR","RenanCarvalhoFernandes@teleworm.us","(49) 2211-7245","10/1/1972","668.448.969-05","e1b0e85e-b78a-4b76-8011-90769f633f36","-27.930974","-50.345054","O+","1512","Renan C Fernandes","2"
"Foz do Iguaçu","PR","BR","GabriellyBarbosaAzevedo@cuvox.de","(45) 4671-2617","2/4/1997","571.374.724-78","84959df0-e3d0-48df-8055-cdd0d1a58cf4","-25.50179","-54.403389","A+","1513","Gabrielly B Azevedo","1"
"Mogi das Cruzes","SP","BR","RyanMartinsLima@cuvox.de","(11) 8680-8173","3/29/1945","194.206.708-99","a555ad09-43e6-424e-84d7-e7b8c986972e","-23.480786","-46.108609","AB+","1514","Ryan M Lima","2"
"São José do Rio Preto","SP","BR","LuanaCostaDias@dayrep.com","(17) 7610-7665","11/23/1936","477.722.603-42","ce4fb18c-0630-47d9-8792-e877e9f9334f","-20.841873","-49.365211","O+","1515","Luana C Dias","1"
"Fortaleza","CE","BR","LuanBarbosaCastro@einrot.com","(85) 8089-2551","8/16/1938","279.206.681-40","16ebe855-2a0f-4d5b-9d63-86845a5b33b5","-3.699661","-38.614692","A+","1516","Luan B Castro","2"
"Birigüi","SP","BR","OtavioCunhaCavalcanti@einrot.com","(18) 6482-8707","6/14/1949","818.686.665-57","38b25461-8eb9-44fd-b534-efbf64abc945","-21.297614","-50.431625","O+","1517","Otávio C Cavalcanti","2"
"Sarandi","PR","BR","EvelynFerreiraCosta@teleworm.us","(44) 2091-9225","12/9/1958","695.448.075-43","2548ed61-7cda-478e-836b-40e73760662d","-23.479141","-51.776097","A+","1518","Evelyn F Costa","1"
"Americana","SP","BR","DanielPereiraBarros@fleckens.hu","(19) 6872-9192","8/15/1989","797.324.997-45","5a5a0293-6691-43f4-bc55-36dca0bc3da7","-22.701992","-47.283392","O+","1519","Daniel P Barros","2"
"Canoas","RS","BR","DouglasGomesAlves@gustr.com","(51) 9459-3423","12/23/1947","335.779.383-07","471ac586-995f-4b6e-bb54-10f58e9ff580","-30.014348","-51.178064","B+","1520","Douglas G Alves","2"
"Cuiabá","MT","BR","GiovanaSilvaLima@gustr.com","(65) 8766-3637","6/17/1971","364.961.977-68","86eb6c7c-9ebe-4d96-80ed-11c69ae5f939","-15.465782","-55.892195","O+","1521","Giovana S Lima","1"
"Lages","SC","BR","JoaoCostaSouza@fleckens.hu","(49) 5836-9878","8/5/1988","805.848.095-90","7f151812-cdc7-4f56-bf5d-d98d83740d8a","-27.943692","-50.391597","B+","1522","João C Souza","2"
"Guarulhos","SP","BR","MarcosMartinsSantos@fleckens.hu","(11) 4762-8676","12/10/1956","841.914.004-01","460b4429-dced-4879-b66c-d1f8e38e001c","-23.492469","-46.387768","O+","1523","Marcos M Santos","2"
"João Pessoa","PB","BR","AliceSilvaPereira@cuvox.de","(83) 4810-8846","3/20/1946","461.277.316-07","cd659c68-84f8-4743-b385-0e714f571aa1","-7.074419","-34.799166","B+","1524","Alice S Pereira","1"
"Brusque","SC","BR","GabrielleMeloOliveira@dayrep.com","(47) 3534-7453","8/25/1948","782.375.912-83","daed5a18-cf18-476f-94a3-e25c92b2bc65","-27.160254","-48.962994","AB-","1525","Gabrielle M Oliveira","1"
"São Caetano do Sul","SP","BR","SamuelSouzaOliveira@fleckens.hu","(11) 8563-3048","6/12/1982","235.556.249-03","a06f1ccd-23f2-4872-97a7-feb3632d7d96","-23.701107","-46.629659","B+","1526","Samuel S Oliveira","2"
"Porto Alegre","RS","BR","JoseGoncalvesMartins@gustr.com","(51) 8980-5207","4/11/1948","515.006.912-40","c17adbf5-86f5-416e-90dd-d46abedbefbc","-30.196133","-51.070222","O+","1527","José G Martins","2"
"Belo Horizonte","MG","BR","IsabellaSantosMartins@superrito.com","(31) 3248-8543","2/17/1987","836.580.432-88","0224e930-96f4-456f-907e-633666024222","-19.924858","-44.030155","A+","1528","Isabella S Martins","1"
"Recife","PE","BR","FernandaLimaSouza@superrito.com","(81) 6655-8848","10/12/1969","214.305.665-66","d62d77de-bfdb-47f3-8ccd-8d50e0ccd4d9","-8.07409","-34.891491","AB+","1529","Fernanda L Souza","1"
"Belo Horizonte","MG","BR","FelipeMartinsOliveira@dayrep.com","(31) 3532-9182","5/17/1934","909.657.539-30","be312d49-793f-49d4-8115-adef395908ba","-19.927436","-43.976768","A+","1530","Felipe M Oliveira","2"
"Aracaju","SE","BR","RafaelaCostaPereira@fleckens.hu","(79) 2801-8265","7/22/1995","551.175.582-60","f3729ab2-505b-4ab4-83e2-b2d449dc0eff","-10.9238","-37.095179","O+","1531","Rafaela C Pereira","1"
"Osasco","SP","BR","SarahCastroCardoso@superrito.com","(11) 5676-3423","8/9/1983","357.254.548-00","2000bb48-acf6-41d9-bda0-dbdcb074ec60","-23.568031","-46.79753","B+","1532","Sarah C Cardoso","1"
"Sobradinho","DF","BR","LuanGoncalvesAraujo@superrito.com","(61) 8250-7718","4/24/1962","331.429.464-62","3b93de6c-ba04-4414-8043-2d0f7c49e4b8","-29.49351","-53.121519","O-","1533","Luan G Araujo","2"
"São Paulo","SP","BR","BeatriceAlmeidaCastro@einrot.com","(11) 8537-5495","2/11/2001","227.950.220-87","f21990a0-9f7c-43ea-87b7-33ee0b13f0da","-23.552895","-46.581051","B+","1534","Beatrice A Castro","1"
"Novo Hamburgo","RS","BR","TiagoCunhaSilva@rhyta.com","(51) 5868-3464","6/10/1951","198.203.579-00","f5b7efa8-e6f2-49fb-83f3-18374dbc3a08","-29.757289","-50.96385","O+","1535","Tiago C Silva","2"
"Guarulhos","SP","BR","LauraGomesPereira@fleckens.hu","(11) 8551-4139","4/23/1939","479.074.355-10","52fba86e-3b4b-48b5-8c1c-3a5a2c59835d","-23.319529","-46.39771","A+","1536","Laura G Pereira","1"
"Goiânia","GO","BR","LauraCostaBarbosa@einrot.com","(62) 9130-8299","7/28/1979","890.273.609-10","49c91b88-6cdb-46b2-8b0f-908f7cbd10ce","-16.69592","-49.173162","B+","1537","Laura C Barbosa","1"
"Curitiba","PR","BR","RafaelCostaGomes@jourrapide.com","(41) 4752-9393","1/9/1969","745.614.846-55","3652543b-fe8e-4ad3-aee4-20a5bf899774","-25.559603","-49.224235","A+","1538","Rafael C Gomes","2"
"Aracaju","SE","BR","CauaBarbosaCardoso@dayrep.com","(79) 7659-9772","1/29/1943","563.037.917-86","d306d7f6-624f-4004-bc26-5331a090500f","-10.909695","-37.050571","A+","1539","Cauã B Cardoso","2"
"Guarulhos","SP","BR","LuizaCastroAraujo@rhyta.com","(11) 9930-5631","5/31/1944","154.652.193-35","35b699dc-36d7-41e2-8394-dd5cd38169fa","-23.356907","-46.422591","O-","1540","Luiza C Araujo","1"
"São Paulo","SP","BR","MateusCarvalhoBarbosa@rhyta.com","(11) 7288-2847","9/25/1988","264.795.555-70","2b8385dd-3675-4dd6-915a-cb57cd5d54b6","-23.598328","-46.701524","O+","1541","Mateus C Barbosa","2"
"Curitiba","PR","BR","AmandaRochaMelo@fleckens.hu","(41) 7760-5221","8/31/1955","403.948.886-50","cb955494-f1bf-4600-a3fd-8fe1d07efc75","-25.478084","-49.358954","B+","1542","Amanda R Melo","1"
"Campinas","SP","BR","NicoleCavalcantiPereira@teleworm.us","(19) 6155-3751","10/26/1993","775.796.991-33","de9b47ca-4bbc-4a39-ac1d-ea7e4a501415","-22.876836","-47.138305","O+","1543","Nicole C Pereira","1"
"Contagem","MG","BR","LuizSilvaCarvalho@cuvox.de","(31) 3236-5994","5/11/1950","868.798.376-03","adee7cf4-26db-42f9-9fb3-a870d2e77371","-19.883571","-44.093123","B+","1544","Luiz S Carvalho","2"
"Recife","PE","BR","YasminFerreiraCunha@armyspy.com","(81) 9704-3862","1/21/1973","696.486.464-49","b314352c-a56e-4c3b-85d0-fbb16935352f","-8.066016","-34.998297","AB+","1545","Yasmin F Cunha","1"
"Pará de Minas","MG","BR","MariaAraujoDias@dayrep.com","(37) 5032-3742","2/2/1985","943.101.576-53","013716c5-76e8-4160-b3fc-40f22224271f","-19.877364","-44.623421","A+","1546","Maria A Dias","1"
"Chapecó","SC","BR","RaissaFerreiraCarvalho@superrito.com","(49) 7563-6236","2/19/1965","437.849.080-39","7e41d5db-0cfa-4b3c-8f53-a1a5d38d29e4","-27.049711","-52.588272","B-","1547","Raissa F Carvalho","1"
"Caruaru","PE","BR","LucasCavalcantiMartins@superrito.com","(81) 3018-8342","10/6/1943","492.595.185-80","97d8cfe4-3600-4a61-bf4c-f85c1bc7d621","-8.177459","-36.080843","B+","1548","Lucas C Martins","2"
"Maceió","AL","BR","AntonioPereiraMartins@jourrapide.com","(82) 7953-3569","1/20/1985","943.543.360-06","f27eee5d-f8eb-4c69-954a-457063c17e24","-9.670297","-35.621886","O+","1549","Antônio P Martins","2"
"Jundiaí","SP","BR","EmilyCorreiaSilva@superrito.com","(11) 3337-5170","8/15/1963","797.329.087-77","bfaa5fd9-b7ce-4214-b9ee-082368b9e966","-23.176732","-46.812715","B+","1550","Emily C Silva","1"
"Taboão da Serra","SP","BR","DouglasAraujoCavalcanti@armyspy.com","(11) 6410-7419","11/21/1956","788.034.060-26","0d7ddbec-7cbc-4577-9105-52bb54fa784f","-23.55733","-46.739567","B-","1551","Douglas A Cavalcanti","2"
"São Gonçalo","RJ","BR","JulioPintoRocha@teleworm.us","(21) 7925-9130","6/18/1960","808.816.563-64","b19ca071-5186-4408-91db-628a5a25d585","-22.906321","-43.140353","B+","1552","Júlio P Rocha","2"
"Nilópolis","RJ","BR","JulietaGoncalvesCosta@cuvox.de","(21) 8369-8692","5/15/1996","769.279.715-30","5502cd8f-7687-4a51-9e76-cd506cc0559c","-22.907513","-43.361349","O+","1553","Julieta G Costa","1"
"Araguaína","TO","BR","PedroFerreiraCosta@jourrapide.com","(63) 4787-2198","10/28/2000","801.609.069-97","88e48b1d-a40a-4e55-ba4d-c7d233e16fc6","-7.298109","-48.695498","B+","1554","Pedro F Costa","2"
"Ribeirão das Neves","MG","BR","EmillyAzevedoSousa@teleworm.us","(31) 8691-4703","3/8/1948","589.535.615-07","a2e9b4ee-1db1-4331-b88f-5c37fc6c76db","-19.822482","-44.031662","O+","1555","Emilly A Sousa","1"
"São Vicente","SP","BR","SophiaCardosoPereira@gustr.com","(11) 8237-3101","12/8/1940","281.087.918-47","6306a156-1112-43ca-ad4a-926e9b8b54b8","-23.967547","-46.539491","O+","1556","Sophia C Pereira","1"
"Brasília","DF","BR","FernandaPintoGomes@armyspy.com","(61) 4523-8183","10/23/1964","542.006.863-09","f5f1cc1b-efb5-476d-b1a6-e5d46a2f49e8","-15.892483","-47.632421","O+","1557","Fernanda P Gomes","1"
"Ponte Nova","MG","BR","LuisGomesCastro@superrito.com","(31) 2866-9386","3/29/1946","418.505.825-05","04e81ee8-a2b6-4801-9d2b-17203b1301f5","-20.311059","-42.9878","A+","1558","Luis G Castro","2"
"São José dos Campos","SP","BR","LeonorAzevedoAlmeida@dayrep.com","(12) 9849-2833","4/14/1961","642.744.007-19","cb392581-4fa6-432d-8cda-52496e2d844f","-23.079017","-45.956414","B+","1559","Leonor A Almeida","1"
"Campinas","SP","BR","LuanSantosCunha@dayrep.com","(19) 5566-6919","4/27/1947","836.007.462-35","ea0a3f41-2340-4e1d-b8a4-c814e890cf51","-22.905426","-47.04807","O+","1560","Luan S Cunha","2"
"São Paulo","SP","BR","BrenoAlvesCastro@dayrep.com","(11) 8318-8498","9/22/1942","938.329.827-87","84e84a3e-f000-4025-9126-47a762e2058c","-23.671661","-46.71403","B+","1561","Breno A Castro","2"
"São Paulo","SP","BR","MiguelLimaRodrigues@teleworm.us","(11) 9308-2487","8/16/1955","457.915.540-87","dab4b704-6c3a-497c-a5f0-fe25b5d5af1a","-23.67524","-46.700976","O+","1562","Miguel L Rodrigues","2"
"Poços de Caldas","MG","BR","LuisDiasRodrigues@einrot.com","(35) 9873-4033","5/3/1957","914.372.266-04","f4f6baa9-7e28-47d7-9e33-8ec3efdabfe5","-21.826999","-46.527277","A+","1563","Luis D Rodrigues","2"
"Presidente Prudente","SP","BR","AlexDiasCastro@gustr.com","(18) 5192-8875","2/2/1962","259.446.373-66","50d13781-7d12-4c7a-af51-cf422c56c33f","-21.910586","-51.421502","O+","1564","Alex D Castro","2"
"Curitiba","PR","BR","AliceGoncalvesSouza@rhyta.com","(41) 6541-7670","12/7/1992","798.567.209-58","79f29902-6be6-415c-b0d7-3311802d4887","-25.494574","-49.307163","O+","1565","Alice G Souza","1"
"São Paulo","SP","BR","KauaBarbosaDias@cuvox.de","(11) 7832-6182","11/6/1958","755.805.631-40","70684a29-8693-41f3-87c0-e810d845f940","-23.614496","-46.59712","O+","1566","Kaua B Dias","2"
"Itapecerica da Serra","SP","BR","LeticiaMeloCunha@cuvox.de","(11) 6818-6584","9/30/1988","244.615.019-57","8fb15fbf-ccf9-4142-ba28-c1a2a10b141f","-23.646761","-46.870522","B+","1567","Letícia M Cunha","1"
"Franco da Rocha","SP","BR","IsabelleCardosoOliveira@rhyta.com","(11) 9050-3206","1/28/1988","279.394.713-09","5449d53d-b538-40d2-8387-c4cea7e6217d","-23.213666","-46.811037","O+","1568","Isabelle C Oliveira","1"
"Brasília","DF","BR","YasminDiasRibeiro@jourrapide.com","(61) 6894-6478","3/4/1973","897.702.060-32","dcbc9739-a358-46ea-9d46-265576260675","-15.791297","-47.60587","AB+","1569","Yasmin D Ribeiro","1"
"Avaré","SP","BR","AntonioGomesFerreira@fleckens.hu","(14) 5981-9947","2/2/1948","643.798.216-09","826292e1-403a-4d50-8fb4-3e71f9cf03f9","-23.010718","-48.94009","B+","1570","Antônio G Ferreira","2"
"Sorocaba","SP","BR","MelissaSilvaBarbosa@rhyta.com","(15) 5491-9990","2/17/1953","764.368.759-56","69c431f6-1936-4061-87af-6182620e78cf","-23.498601","-47.527991","B+","1571","Melissa S Barbosa","1"
"Serra","ES","BR","KaiSilvaFernandes@rhyta.com","(27) 9943-7130","10/2/1941","969.657.504-13","5f632643-bb3b-44af-93a5-67ad44e3378c","-20.132058","-40.275344","O+","1572","Kai S Fernandes","2"
"Botucatu","SP","BR","CarlosMeloMartins@superrito.com","(14) 8945-9946","5/12/1976","365.042.769-94","3c61bee4-58b2-41bf-b663-98c42cd9ce10","-22.857224","-48.514387","O+","1573","Carlos M Martins","2"
"Uberlândia","MG","BR","LiviaGoncalvesFerreira@superrito.com","(34) 6206-5353","11/18/1953","144.750.442-94","3138a98f-e969-4a0f-b407-cda355f56b7d","-18.97051","-48.235305","B+","1574","Livia G Ferreira","1"
"Guarujá","SP","BR","LuisMartinsFerreira@superrito.com","(13) 2242-5880","8/31/1972","184.466.313-26","133ee66f-6c8e-4893-b751-66809ed9988f","-23.944495","-46.196505","O-","1575","Luís M Ferreira","2"
"Lençóis Paulista","SP","BR","IsabellaCarvalhoFerreira@teleworm.us","(14) 8287-8120","2/18/1966","306.007.191-89","eb9512aa-68c0-465a-93fe-51cce3d5949d","-22.68859","-48.810461","A+","1576","Isabella C Ferreira","1"
"São Paulo","SP","BR","EvelynCunhaRodrigues@armyspy.com","(11) 9739-5423","9/20/1965","991.270.258-10","eac36b13-1d44-4aca-8a91-7ccfac0bbc66","-23.544878","-46.721637","B+","1577","Evelyn C Rodrigues","1"
"Novo Hamburgo","RS","BR","GabriellePintoSilva@rhyta.com","(51) 9518-9062","10/2/1985","399.043.318-04","16b19961-f5ed-4dd9-a18b-4c1743cb0b15","-29.762585","-50.975814","A+","1578","Gabrielle P Silva","1"
"Castro","PR","BR","LarissaCastroGomes@teleworm.us","(42) 7250-6018","7/18/1971","991.185.608-90","1092906e-a531-4845-be84-dfcde7197da7","-24.790203","-49.837573","O+","1579","Larissa C Gomes","1"
"Bauru","SP","BR","KauanFernandesRibeiro@superrito.com","(14) 3896-7313","6/17/1979","543.284.320-01","18bab801-28ed-4f2a-966c-791ea537ca45","-22.277197","-49.053835","O-","1580","Kauan F Ribeiro","2"
"Lins","SP","BR","SofiaAraujoBarbosa@superrito.com","(19) 3616-8602","4/21/1938","926.295.303-88","e7b2379f-0baf-4540-93a5-6a6d13e6bd07","-21.606925","-49.743217","A+","1581","Sofia A Barbosa","1"
"São Paulo","SP","BR","PauloAlmeidaCavalcanti@rhyta.com","(11) 6018-5721","10/9/1979","420.908.277-50","1eb80962-1c24-4b30-aab7-648c7e503134","-23.632595","-46.720427","O+","1582","Paulo A Cavalcanti","2"
"Uberlândia","MG","BR","KauaSousaGomes@armyspy.com","(34) 9653-3425","3/9/1971","712.089.314-90","f0f40689-5209-440f-b289-ba4591e006a1","-19.050732","-48.418809","O+","1583","Kauã S Gomes","2"
"Sorocaba","SP","BR","FabioBarbosaSantos@fleckens.hu","(15) 6979-6000","4/20/2000","378.988.406-58","8eaf0c2b-8b5f-4c30-aa45-9242a51fdf99","-23.538218","-47.522934","B+","1584","Fábio B Santos","2"
"Cariacica","ES","BR","MelissaMeloCastro@rhyta.com","(27) 4625-6292","7/5/1953","314.767.596-34","679a9ca5-f18b-4fd9-ab9c-c60527f11be9","-20.395347","-40.530794","O+","1585","Melissa M Castro","1"
"Goiânia","GO","BR","DaniloOliveiraCardoso@superrito.com","(62) 9605-4387","7/16/1976","995.641.235-00","b9dae8b2-1e61-42d5-9447-adbb7512338f","-16.556832","-49.209755","O+","1586","Danilo O Cardoso","2"
"Mogi-Mirim","SP","BR","LeonardoCavalcantiGomes@jourrapide.com","(16) 9549-5834","8/8/1958","860.121.108-98","03a4e7e2-8866-4e52-ac6c-fbc63905ffb2","-22.351878","-46.855078","B+","1587","Leonardo C Gomes","2"
"Maringá","PR","BR","PauloSilvaBarros@gustr.com","(44) 5660-4442","6/14/1960","508.478.121-62","d95cee88-2ae9-4fa1-83da-546f7a9e02c0","-23.445885","-51.978276","A+","1588","Paulo S Barros","2"
"Porto Alegre","RS","BR","BeatriceDiasLima@fleckens.hu","(51) 8080-6403","1/22/1936","312.578.157-41","a660540e-9a23-48df-ac8a-0d6751068d83","-30.131011","-51.160306","O+","1589","Beatrice D Lima","1"
"Macapá","AP","BR","KauaRochaOliveira@rhyta.com","(96) 2660-2513","12/19/1970","736.095.496-70","1d62eabf-9262-493a-bed6-f69359aad336","0.507868","-50.837637","A+","1590","Kauã R Oliveira","2"
"Araraquara","SP","BR","BrenoGoncalvesRodrigues@cuvox.de","(16) 8092-9658","1/11/1989","520.282.243-04","d119d78e-2c7e-46ac-a655-c20a4af57d4e","-21.814852","-48.288167","AB-","1591","Breno G Rodrigues","2"
"Paulista","PE","BR","RenanGoncalvesBarbosa@rhyta.com","(81) 9748-5831","6/7/1949","447.781.946-32","2bf2b0f5-be26-47b3-8151-a8a48465a01f","-7.996287","-34.978765","O+","1592","Renan G Barbosa","2"
